S1_Std,S1_Diff,S1_Waveform,S2_Std,S2_Diff,S2_Waveform,Label
3.138407239,-10,16,10.43693442,-10,33,0
3.195058685,1,16,10.62894162,-14,33,0
3.176413071,5,16,10.68576623,-2,33,0
3.176413071,-6,16,10.53671676,6,33,0
3.207802986,0,16,10.4556205,9,33,0
3.188479261,6,16,10.54134716,11,33,0
3.231098884,4,16,10.56388186,3,33,0
3.119230674,-2,16,10.45033971,-3,33,0
3.099741925,-3,16,10.36486372,-8,33,0
3.174901573,-5,16,10.50493217,-14,33,0
3.282925525,-1,17,10.69656019,-6,34,0
3.3,3,17,10.67138229,5,34,0
3.28901201,2,17,10.58043477,11,34,0
3.328663395,5,17,10.68945275,13,34,0
3.347596152,-1,17,10.71029411,1,34,0
3.365947118,0,17,10.68945275,-1,34,0
3.365947118,-1,17,10.6031882,-9,34,0
3.36505572,-3,17,10.64706532,-9,34,0
3.390811112,-2,17,10.90007339,-11,34,0
3.407345007,0,17,10.9225638,5,34,0
3.408460063,4,17,10.86948021,11,34,0
3.408460063,1,17,10.99347079,14,34,0
3.492849839,4,17,10.99347079,2,34,0
3.492849839,-2,17,10.94255912,-1,34,0
3.486488204,-3,17,10.8092738,-8,34,0
3.490615991,-2,17,10.80349943,-11,34,0
3.636976766,-6,18,11.01252015,-10,34,0
3.601610751,5,18,11.03768092,1,34,0
3.59894429,3,18,10.87382178,13,34,0
3.59894429,1,18,10.9635943,12,34,0
3.619060652,1,18,11.05976492,3,34,0
3.606937759,-1,18,11.016061,-2,34,0
3.606937759,-1,18,10.93744029,-5,34,0
3.607991131,0,18,10.92119041,-6,34,0
3.644392954,-5,18,11.10900536,-15,34,0
3.593104507,4,18,10.98180313,3,34,0
3.593104507,0,18,10.7895505,9,34,0
3.592269478,0,18,10.80231457,10,34,0
3.645325774,5,18,10.98988626,8,34,0
3.611094017,-4,18,10.96767979,-3,34,0
3.592269478,-1,18,10.87141205,-6,34,0
3.57233817,0,18,10.82766826,-6,34,0
3.57233817,-2,18,11.030068,-15,34,0
3.546491224,1,18,10.97633819,1,34,0
3.551056181,0,18,10.82125686,9,34,0
3.537004382,2,18,10.76418134,7,34,0
3.555277767,2,18,10.91054536,11,34,0
3.59494089,5,18,10.93451416,1,34,0
3.486488204,1,16,10.813769,-3,33,0
3.424908758,-8,16,10.73254863,-8,33,0
3.374077652,-4,16,10.89006887,-16,33,0
3.374077652,-1,16,10.9446608,-3,33,0
3.404761372,1,16,10.78422923,7,33,0
3.354101966,0,16,10.68885401,9,33,0
3.268026928,3,16,10.77433989,10,33,0
3.267353669,0,16,10.7929792,1,33,0
3.201562119,1,16,10.69908407,-3,33,0
3.178427284,-1,16,10.61010839,-8,33,0
